FileName,Strength,SeedSize,UsedSeedSize,TSSize,TSTime
benchmark1,5,0,0,16807,14985.0
benchmark1,5,10,10,16807,24552.0
benchmark1,5,20,20,16807,22142.0
benchmark1,5,30,30,16807,21624.0
benchmark1,5,40,39,16807,21959.0
benchmark1,5,50,50,16807,21521.0
benchmark1,5,60,60,16807,21890.0
benchmark1,5,70,70,16807,23669.0
benchmark1,5,80,80,16807,22993.0
benchmark1,5,90,90,16807,23196.0
benchmark1,5,100,99,16807,22842.0
benchmark1,5,110,110,16807,21111.0
benchmark1,5,120,120,16807,22158.0
benchmark1,5,130,129,16807,22996.0
benchmark1,5,140,140,16807,22151.0
benchmark1,5,150,150,16807,21837.0
benchmark1,5,160,160,16807,23282.0
benchmark1,5,170,169,16807,21917.0
benchmark1,5,180,180,16807,22755.0
benchmark1,5,190,188,16807,15113.0
UNIFORM_ALL_0,5,0,0,576,100.0
UNIFORM_ALL_0,5,10,10,572,138.0
UNIFORM_ALL_0,5,20,19,559,140.0
UNIFORM_ALL_0,5,30,29,561,109.0
UNIFORM_ALL_0,5,40,39,537,101.0
UNIFORM_ALL_0,5,50,49,545,104.0
UNIFORM_ALL_0,5,60,58,549,109.0
UNIFORM_ALL_0,5,70,69,524,97.0
UNIFORM_ALL_0,5,80,80,544,97.0
UNIFORM_ALL_0,5,90,89,535,94.0
UNIFORM_ALL_0,5,100,100,529,92.0
UNIFORM_ALL_0,5,110,104,533,92.0
UNIFORM_ALL_0,5,120,120,535,92.0
UNIFORM_ALL_0,5,130,127,528,92.0
UNIFORM_ALL_0,5,140,135,528,90.0
UNIFORM_ALL_0,5,150,141,541,91.0
UNIFORM_ALL_0,5,160,153,531,89.0
UNIFORM_ALL_0,5,170,165,527,88.0
UNIFORM_ALL_0,5,180,176,538,146.0
UNIFORM_ALL_0,5,190,182,527,141.0
UNIFORM_ALL_1,timeout,0,timeout,timeout,timeout
UNIFORM_ALL_1,timeout,10,timeout,timeout,timeout
UNIFORM_ALL_1,timeout,20,timeout,timeout,timeout
UNIFORM_ALL_1,timeout,30,timeout,timeout,timeout
UNIFORM_ALL_1,timeout,40,timeout,timeout,timeout
UNIFORM_ALL_1,timeout,50,timeout,timeout,timeout
